Summary,Issue Type,Priority,Story Points,Labels,Description
HU-01 · Inicio de sesión único,Story,High,5,PucePark,"Como estudiante o guardia quiero iniciar sesión con mi cuenta PUCE para entrar al sistema según mi rol.

Criterios:
- Credenciales válidas -> obtengo token (Cognito) y entro a Zonas.
- Credenciales inválidas -> mensaje de error claro.
- Token de guardia -> se habilitan funciones de guardia."
HU-02 · Aviso 'no estás registrado',Story,Medium,2,PucePark,"Como usuario autenticado sin cuenta de parqueo quiero un aviso claro para saber que debo ir a Secretaría.

Criterios:
- Usuario sin perfil -> se muestra 'No estás registrado, ve a Secretaría' + cerrar sesión."
HU-03 · Completar perfil (onboarding),Story,High,5,PucePark,"Como usuario nuevo quiero completar mi perfil para poder usar el parqueo.

Criterios:
- Perfil incompleto -> se muestra onboarding y no se puede salir sin guardar.
- Nombre y apellido + placa/cédula + permiso válidos -> perfil completo y entra a la app.
- Nombre de una sola palabra -> rechazado (se exige nombre y apellido)."
HU-04 · Ver zonas con disponibilidad,Story,High,3,PucePark,"Como estudiante quiero ver las zonas y su disponibilidad para elegir dónde parquear.

Criterios:
- Se ven zonas con total disponibles/ocupados y barra de ocupación.
- Al volver a la pestaña, los datos se refrescan."
HU-05 · Ver mapa de puestos de una zona,Story,High,5,PucePark,"Como estudiante quiero ver los puestos de una zona con su estado para identificar uno libre.

Criterios:
- Grid de puestos con colores (verde=disponible, amarillo=mi puesto, rojo=ocupado) y su número (A-01...).
- Con puesto activo, aparece botón 'Liberar' fijo arriba."
HU-06 · Ocupar un puesto,Story,High,5,PucePark,"Como estudiante quiero ocupar un puesto disponible para reservar mi lugar.

Criterios:
- Puesto disponible y sin puesto activo -> al confirmar, pasa a ocupado (amarillo) y se registra en historial.
- Con puesto activo, intentar ocupar otro -> se impide con aviso.
- Dos usuarios sobre el mismo puesto -> solo uno lo obtiene (concurrencia)."
HU-07 · Liberar mi puesto,Story,High,3,PucePark,"Como estudiante quiero liberar mi puesto rápidamente para dejarlo libre al irme.

Criterios:
- Con puesto activo, al tocar 'Liberar', queda disponible y se cierra la sesión (hora de salida)."
HU-08 · Guardia: registrar entrada manual,Story,Medium,3,PucePark,"Como guardia quiero registrar la entrada de un vehículo con su placa para controlar accesos.

Criterios:
- Puesto disponible + placa -> queda ocupado a nombre del guardia con la placa.
- Placa vacía -> se rechaza."
HU-09 · Guardia: forzar liberación,Story,Medium,2,PucePark,"Como guardia quiero liberar un puesto ocupado para corregir o liberar plazas.

Criterios:
- Puesto ocupado -> al forzar liberación, queda disponible."
HU-10 · Ver mi historial,Story,Medium,3,PucePark,"Como estudiante quiero ver mi historial de parqueos para llevar control de mi uso.

Criterios:
- En Historial se ven mis sesiones (activas y completadas) con fechas."
HU-11 · Ver estadísticas mensuales,Story,Low,2,PucePark,"Como estudiante quiero ver mis estadísticas del mes para conocer mi uso.

Criterios:
- Por mes se ven horas totales, sesiones y racha."
HU-12 · Ver ranking mensual,Story,Low,3,PucePark,"Como estudiante quiero ver el ranking del mes para compararme con otros usuarios.

Criterios:
- Lista ordenada por horas, con mi nombre resaltado.
- Excluye registros de guardia."
HU-13 · Editar mi perfil,Story,Medium,3,PucePark,"Como usuario quiero editar mis datos para mantenerlos al día.

Criterios:
- Con el botón de lápiz, al editar y guardar con datos válidos, el perfil se actualiza."
HU-14 · Admin: gestionar zonas y puestos,Story,Medium,5,PucePark,"Como admin quiero administrar zonas y puestos para mantener el catálogo.

Criterios:
- Rol ADMIN puede crear/editar/eliminar zonas y puestos.
- Un no-admin recibe 401/403."
